epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.911,0.67614,1.23402,1.35341,0.29793,0.50932,0.38219,0.23132,0.99438,1.85755,1.34007,0.000332016,0.000332016,0.0671304
2,186.944,0.60106,0.98516,1.27046,0.40079,0.3301,0.31639,0.20285,1.11809,2.07611,1.38371,0.000621436,0.000621436,0.0340865
3,271.715,0.56055,0.89653,1.23033,0.42946,0.42491,0.43431,0.35446,0.82516,1.43923,1.28993,0.000866856,0.000866856,0.000998609
4,355.883,0.52992,0.85537,1.20741,0.4384,0.42728,0.45782,0.38887,0.62233,1.17691,0.91932,0.000802,0.000802,0.000802
5,440.365,0.50552,0.78689,1.18635,0.33861,0.44185,0.43072,0.36611,0.63714,1.53799,0.97671,0.000736,0.000736,0.000736
6,545.601,0.41795,0.5735,1.22241,0.41749,0.39365,0.39739,0.33731,0.59502,1.43716,0.88255,0.00067,0.00067,0.00067
7,629.582,0.38126,0.49221,1.19235,0.38399,0.46896,0.45849,0.39751,0.62544,1.26855,0.96022,0.000604,0.000604,0.000604
8,713.518,0.36084,0.43556,1.16788,0.40559,0.44416,0.43081,0.36821,0.58556,1.65299,0.82676,0.000538,0.000538,0.000538
9,797.802,0.34572,0.39515,1.14966,0.46457,0.43332,0.46325,0.40233,0.53959,1.53128,0.78429,0.000472,0.000472,0.000472
10,882.8,0.33069,0.37021,1.132,0.44932,0.44577,0.48282,0.41416,0.5589,1.68212,0.79059,0.000406,0.000406,0.000406
11,967.085,0.3248,0.33102,1.12914,0.42096,0.50123,0.49158,0.43201,0.5454,1.1672,0.78861,0.00034,0.00034,0.00034
12,1051.27,0.30401,0.30772,1.10824,0.459,0.51157,0.54679,0.48338,0.51348,1.09418,0.7617,0.000274,0.000274,0.000274
13,1135.4,0.29717,0.2816,1.0989,0.50385,0.48597,0.54708,0.48296,0.50737,1.07443,0.73225,0.000208,0.000208,0.000208
14,1219.86,0.28062,0.25681,1.08655,0.49166,0.52846,0.53126,0.47459,0.49174,0.995,0.69771,0.000142,0.000142,0.000142
15,1303.91,0.26448,0.23197,1.08522,0.43324,0.53585,0.52922,0.46383,0.51417,1.27446,0.73051,7.6e-05,7.6e-05,7.6e-05
